"Ürün Adı","Ürün Kodu","Fiyat","CAS Numarası","Marka"
"Agar-Agar Granulated, Purified And Free From Ynhibitors For Microbiology","M101614.1000","411.65","",MERCK
"Anaerobic Jar 2,5 l-volume","M113681.0001","326.74","",MERCK
"Anaerocult A for microbiology Reagent for the generation of an anaerobic medium in an anaerobic jar","M132381.0001","42.35","",MERCK
"Anaerocult A mini","M132369.0001","153.67","",MERCK
"Anaerocult® C for microbiology ( for the generation of an oxygen-depleted and CO²-enriched atmospher","M132383.0001","108.52","",MERCK
"Anaerotest for mikrobiology","M132371.0001","52.73","",MERCK
"Antibiotic Agar No. 1 For Microbiology","M105272.0500","201.7","",MERCK
"Azide Dextrose Broth For Microbiology UN1687 6.1, II","M101590.0500","156.06","",MERCK
"Baird Parker Agar (Base) For Microbiology","M105406.0500","191.13","",MERCK
"Bile Aesculin Azide Agar For Microbiology","M101344.0500","257.25","",MERCK
"Blood Agar Base For Microbiology","M110886.0500","112.55","",MERCK
"Bolton Broth (Base) For Microbiology","M100068.0500","211.53","",MERCK
"Brilliant-Green Phenol-Red Lactose Sucrose Agar For Microbiology","M107237.0500","95.82","",MERCK
"Buffered Peptone Water For Microbiology","M107228.0500","68.61","",MERCK
"Candida Agar (Base) For Microbiology Nickerson Medium","M105470.0500","515.22","",MERCK
"Casein Peptone, granulated","M102241.5000","147.16","",MERCK
"Cetrimide Agar (Base) For Microbiology","M105284.0500","123.08","",MERCK
"Chromocult Coliform Agar","M110426.0500","405.02","",MERCK
"Columbia Agar Base For Microbiology","M110455.0500","119.55","",MERCK
"Dev Lactose Peptone Broth For Microbiology","M103758.0500","139.73","",MERCK
"Dichloran Glycerol (DG18) Agar (Base) For Microbiology","M111704.0500","215.11","",MERCK
"Dry Indicator Strips For The Determination Of The Gas Composition Yn Anaerobic Jars Anaerotest®","M115112.0001","52.73","",MERCK
"E.Coli Broth For Microbiology","M103723.0500","140.48","",MERCK
"Eosin Methylene-Blue Lactose Sucrose Agar For Microbiology","M101347.0500","107.51","",MERCK
"Fraser Listeria Selective Broth (Base) For Microbiology","M103989.0500","219.08","",MERCK
"Gassner Agar Modified For Microbiology","M104113.0500","126.32","",MERCK
"Gelatin, from porcine skin, granulated for microbiology","M104078.1000","208.97","",MERCK
"Giolitti-Cantoni Broth (Base) For Microbiology","M104283.0500","162.15","",MERCK
"Granu-Cult™ MKTTn (Muller-Kauffmann Tetrathionate Novobiocin) Broth (Base) acc. ISO 6579 for microbiology","M105878.0500","109.84","",MERCK
"Lauryl Sulfate Broth For Microbiology","M110266.0500","130.34","",MERCK
"Lecithin-Polysorbate 80-solution sterile; stabilised for microbiology","M105432.0010","389.92","",MERCK
"Legionella Agar Base For Microbiology","M112041.0500","200.77","",MERCK
"Letheen Broth Modified For Microbiology","M105414.0500","169.17","",MERCK
"Listeria Selective Agar (Base) According To Ottaviani And Agosti (Aloa) For Microbiology","M105208.0500","397.02","",MERCK
"Listeria Selective Enrichment Broth (Base) Uvm I For Microbiology","M110821.0500","225.29","",MERCK
"Lysine Iron Agar For Microbiology","M105282.0500","245.89","",MERCK
"Macconkey Agar For Microbiology","M105465.0500","80.37","",MERCK
"Macconkey Broth For Microbiology","M105454.0500","95.82","",MERCK
"Malt Extract Agar For Microbiology","M105450.0500","106.33","",MERCK
"Mannitol Egg Yolk Polymyxin (MyP) Agar (Base) For Microbiology","M105267.0500","195.1","",MERCK
"Mannitol Salt Agar Phenol-Red For Microbiology","M105404.0500","111.96","",MERCK
"Meat extract, granulated for microbiology","M113111.5000","120.31","",MERCK
"Microbiological Environmental Monitoring (Contact Slides) Tryptic Soy Agar With Ltht","M113572.0020","119.55","",MERCK
"Microbiological Environmental Monitoring (Sedimentation Plates) Tryptic Soy Agar With Ltht","M113571.0020","76.7","",MERCK
"Microbiological Environmental Monitoring Tryptic Soy Agar With Ltht","M113568.0100","286.72","",MERCK
"Mrvp Broth For Microbiology","M105712.0500","104.28","",MERCK
"Mueller-Hinton Agar For Microbiology","M105437.0500","111.83","",MERCK
"Mueller-Hinton Broth For Microbiology","M105435.0500","119.55","",MERCK
"Myc Agar For Microbiology","M111973.0500","257.25","",MERCK
"Nutrient Agar For Microbiology","M105450.0500","106.33","",MERCK
"Nutrient Broth For Microbiology","M105443.0500","68.61","",MERCK
"Orange Serum Agar For Microbiology","M106963.0500","201.7","",MERCK
"Oxford Listeria Selective Agar (Base) For Microbiology","M107006.0500","241.14","",MERCK
"Palcam Listeria Selective Agar (Base) For Microbiology","M111755.0500","237.9","",MERCK
"Plate Count Agar For Microbiology","M105463.0500","77.53","",MERCK
"Potato Dextrose Agar For Microbiology","M105450.0500","106.33","",MERCK
"R2A Agar For Microbiology","M100416.0500","209.7","",MERCK
"Rappaport-Vassiliadis (Rvs) Broth For Microbiology","M107700.0500","104.28","",MERCK
"Sabouraud-2 % Dextrose Agar For Microbiology","M105438.0500","77.07","",MERCK
"Sabouraud-4% Dextrose Agar with Chloramphenicole","M105440.0500","87.48","",MERCK
"Salmonella Shigella (Ss) Agar For Microbiology","M107667.0500","109.07","",MERCK
"Selenite Broth (Base) For Microbiology","M107715.0500","151.72","",MERCK
"Sıms Medium For Microbiology","M105471.0500","181.74","",MERCK
"Simmons Citrate Agar For Microbiology","M102500.0500","147.16","",MERCK
"Sodium Chloride Peptone Broth Buffered For Microbiology","M107228.0500","68.61","",MERCK
"Soy Peptone, granulated suitable for microbiology","M107213.5000","117.89","",MERCK
"Standard I Nutrient Agar For Microbiology","M105450.0500","106.33","",MERCK
"Tergitol®-7 Agar (Base) For Microbiology","M109207.0500","245.02","",MERCK
"Thioglycolate Broth For Microbiology","M108190.0500","159.29","",MERCK
"Tryptic Soy Agar With Ltht - Gamma-İrradiated","M113723.0020","85.47","",MERCK
"Triple Sugar Iron Agar For Microbiology Flammable Solid, N.O.S. (Yron(Yyy)-Chloride, H-Hydrate) UN1325 4.1, II","M103915.0010","87.82","",MERCK
"Triple Sugar Yron Agar For Microbiology","M103915.0500","131.18","",MERCK
"Tryptic Soy Agar Casein-Peptone Soymeal-Peptone Agar For Microbiology Usp","M105458.0500","86.5","",MERCK
"Tryptic Soy Agar With Polysorbate 80 And Lecithin For Microbiology","M107324.0500","212.35","",MERCK
"Tryptic Soy Broth Casein-Peptone Soymeal-Peptone Broth For Microbiology Usp","M105459.0500","69.07","",MERCK
"Tryptic Soy Broth Non Animal Origin Yrradiated For Microbiology","M100550.0500","91.7","",MERCK
"Tryptone Water For Microbiology","M110859.0500","195.1","",MERCK
"Tsc Agar Tryptose Sulfite Cycloserine Agar (Base) For Microbiology","M111972.0500","257.87","",MERCK
"Uv Lamp_366Nm For Microbiology","M113203.0001","185.72","",MERCK
"Violet Red Bile (Vrb) Agar For Microbiology","M101406.0500","97.88","",MERCK
"Violet Red Bile Dextrose (Vrbd) Agar For Microbiology","M110275.0500","103.45","",MERCK
"Vogel-Johnson Agar (Base) For Microbiology","M105405.0500","199.64","",MERCK
"Xylose Lysine Deoxycholate Agar (Xld) For Microbiology","M105287.0500","118.88","",MERCK
"Yeast Extract, granulated","M103753.5000","101.99","",MERCK
"Acetic Acid (Glacial) 100% Anhydrous Gr For Analysis Acs,Iso ( Plastik şişededir )","M100063.2511","16.84","",MERCK
"Acetic Acid (Glacial) 100% Anhydrous Gr For Analysis Acs,Iso, ( Cam şişededir )","M100063.2500","18.3","",MERCK
"Acetic Acid (Glacial) 100% suitable for use as excipient EMPROVE® exp Ph Eur,BP,JP,USP,E 260 \\","M100056.2500","26.13","",MERCK
"Acetone Emprove® Ph Eur,Bp,Nf  ## UN1090 3, II \\","M100013.2500","25.04","",MERCK
"Acetone for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100014.2500","15.22","",MERCK
"Acetone for analysis EMSURE® ACS,ISO,Reag. Ph Eur      (Plastik şişededir)","M100014.2511","13.61","",MERCK
"Acetone for gas chromatography suprasolv®","M100012.2500","24.63","",MERCK
"Acetone For Liquid Chromatography Lichrosolv®","M100014.1000","21.84","",MERCK
"Acetonitrile For Liquid Chromatography Lichrosolv®","M100030.1000","30.73","",MERCK
"Acetonitrile For Liquid Chromatography Lichrosolv®","M100030.2500","51.75","",MERCK
"Acetonitrile gradient grade for liquid chromatography LiChrosolv® Reag. Ph Eur","M100029.2500","68.61","",MERCK
"Acetonitrile For Spectroscopy Uvasol®","M100030.2501","74.5","",MERCK
"Adipic acid for synthesis","M800192.0500","29.28","",MERCK
"Aluminium chloride anhydrous for synthesis","M801081.0250","59.43","",MERCK
"Aluminium oxide 90 active basic (activity stage I) for chromatography","M101076.1000","81.39","",MERCK
"Aluminium oxide 90 active neutral (activity stage I) for chromatography","M101077.1000","77.34","",MERCK
"Ammonia solution 25% for analysis EMSURE® ACS,Reag. Ph Eur","M105432.1000","13.84","",MERCK
"Ammonia solution 25% for analysis EMSURE® ACS,Reag. Ph Eur","M105432.2500","20.94","",MERCK
"Ammonium acetate for analysis EMSURE® ACS,Reag. Ph Eur","M101116.0500","39.04","",MERCK
"Ammonium cerium(IV) sulfate dihydrate for analysis","M102272.0100","147.53","",MERCK
"Ammonium chloride for analysis EMSURE® ACS,Reag. Ph Eur","M101145.0500","22.03","",MERCK
"Ammonium dihydrogen phosphate for analysis EMSURE® ACS,Reag. Ph Eur","M101126.0500","36.46","",MERCK
"Ammonium fluoride for analysis EMSURE®","M101184.0250","69.94","",MERCK
"Ammonium heptamolybdate tetrahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101182.0250","140.09","",MERCK
"Ammonium iron(II) sulfate hexahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M103792.0500","39.42","",MERCK
"Ammonium iron(III) citrate brown for analysis","M101155.0250","107.82","",MERCK
"Ammonium peroxodisulfate for analysis EMSURE® ACS,Reag. Ph Eur","M101201.0500","42.5","",MERCK
"Ammonium sodium hydrogen phosphate tetrahydrate for analysis EMSURE® ACS","M106679.0250","94.48","",MERCK
"Ammonium sulfate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101217.0500","28.46","",MERCK
"di-Ammonium hydrogen citrate for analysis EMSURE® ACS","M101150.0500","72.68","",MERCK
"Aniline for synthesis","M801265.1000","76.73","",MERCK
"Antimony(III) chloride for analysis EMSURE®","M101295.0250","177.34","",MERCK
"L(+)-Ascorbic acid suitable for use as excipient EMPROVE® exp Ph Eur,BP,USP,FCC,E 300","M100127.0100","47.85","",MERCK
"L(+)-Ascorbic acid for analysis EMSURE® ACS,Reag. Ph Eur","M100127.0250","74.95","",MERCK
"Barium chloride dihydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101719.0500","35.45","",MERCK
"Benedict's reagent for the determination of reducing sugars","M101740.0500","53.53","",MERCK
"Benzaldehyde for synthesis","M801756.1000","44.49","",MERCK
"Benzoic acid for analysis","M100136.0500","57.07","",MERCK
"Benzyl alcohol for synthesis","M801830.1000","61.35","",MERCK
"Bis(2-hydroxyethyl)amino-tris(hydroxymethyl)methane for analysis buffer substance","M101905.0250","129.54","",MERCK
"Boric acid for analysis EMSURE® ACS,Reag. Ph Eur","M100165.0500","29.07","",MERCK
"Bromocresol green indicator","M108121.0025","57.69","",MERCK
"Bromocresol green solution 0.04% in ethanol","M103025.0100","29.9","",MERCK
"Bromophenol blue indicator","M108122.0005","37.26","",MERCK
"Bromothymol blue indicator ACS","M108123.0025","69.94","",MERCK
"1-Butanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101990.1000","24.18","",MERCK
"1-Butanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M101990.2500","46.94","",MERCK
"tert-Butanol for analysis EMSURE® ACS","M101988.1000","59.88","",MERCK
"n-Butyl acetate for analysis","M101974.1000","37.78","",MERCK
"Butyldiglycol for synthesis","M803130.1000","39.04","",MERCK
"Cadmium sulfate hydrate for analysis EMSURE® ACS","M102027.0250","175.76","",MERCK
"Calcium carbonate precipitated for analysis EMSURE® ACS,Reag. Ph Eur","M102066.0500","28.46","",MERCK
"Calcium chloride dihydrate powder for analysis EMSURE® ACS,Reag. Ph Eur","M102382.0500","24.84","",MERCK
"Calcium chloride dihydrate granulated for analysis EMSURE® ACS,Reag. Ph Eur","M102378.1000","29.07","",MERCK
"Calcium chloride anhydrous, granulated about 1 - 2 mm","M102391.1000","37.98","",MERCK
"Calcium hydroxide for analysis EMSURE®","M102110.0500","28.69","",MERCK
"Calcium nitrate tetrahydrate for analysis EMSURE® ACS","M102121.0500","29.67","",MERCK
"Calcium sulfate dihydrate precipitated for analysis EMSURE® ACS","M102161.0500","29.07","",MERCK
"Caustic soda pellets for analysis EMSURE® Reag. Ph Eur","M106649.0500","30.93","",MERCK
"Cellulose TLC plates 20x20 cm","M105716.0001","117.72","",MERCK
"Cellulose TLC plates with fluorescent indicator 20x20 cm","M105718.0001","132.89","",MERCK
"Charcoal activated granulated","M102184.1000","127.31","",MERCK
"Chloramine T trihydrate for analysis","M102426.0250","59.94","",MERCK
"Chloroform for analysis EMSURE® ACS,Reag. Ph Eur","M102445.1000","44.49","",MERCK
"Chromatography paper grade FN 1, 47x58 cm","M104791.0001","239.11","",MERCK
