Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"İNKÜBATÖR - CO2 HAVA YASTIKLI 50 Litre","BJPX-C50","6540","",Biobase
"İNKÜBATÖR - CO2 HAVA YASTIKLI 80 Litre","BJPX-C80","7650","",Biobase
"İNKÜBATÖR - CO2 HAVA YASTIKLI 160 Litre","BJPX-C160","8410","",Biobase
"İNKÜBATÖR - TROMBOSİT 10450 ml Kan Torbası","BJPX-P10-II","4360","",Biobase
"İNKÜBATÖR - TROMBOSİT 15450 ml Kan Torbası","BJPX-P20-11","4510","",Biobase
"İNKÜBATÖR - TERMOSTATİK ÇALKALAMALI 260260 mm","BJPX-103B","3480","",Biobase
"İNKÜBATÖR - TERMOSTATİK ÇALKALAMALI 470370 mm","BJPX-100B","4660","",Biobase
"İNKÜBATÖR - TERMOSTATİK ÇALKALAMALI 420400 mm","BJPX-200B","6020","",Biobase
"İNKÜBATÖR - DİKEY TİP ÇALKALAMALI Soğutucusuz Tek Kapı 2 Katlı","BJPX-1102C","8070","",Biobase
"İNKÜBATÖR - DİKEY TİP ÇALKALAMALI Soğutuculu Tek Kapı 2 Katlı","BJPX-2102C","9030","",Biobase
"İNKÜBATÖR - DİKEY TİP ÇALKALAMALI Soğutucusuz Büyük Kapasiteli","BJPX-2102","12270","",Biobase
"İNKÜBATÖR - DİKEY TİP ÇALKALAMALI Soğutuculu Büyük Kapasiteli","BJPX-2102R","14800","",Biobase
"KLİMATİK İNKÜBATÖR 403 Litre","BJPX-A40011","8030","",Biobase
"OTOKLAV - DİKEY TİP 30 Litre","BKQ-Z301","4560","",Biobase
"OTOKLAV - DİKEY TİP 50 Litre","BKQ-Z501","5040","",Biobase
"OTOKLAV - DİKEY TİP 75 Litre","BKQ-Z751","5770","",Biobase
"OTOKLAV - DİKEY TİP 100 Litre","BKQ-Z1001","7210","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 146 Litre","BKQ-140D-A","59880","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 241 Litre","BKQ-240D-A","64870","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 352 Litre","BKQ-350D-A","68200","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 655 Litre","BKQ-650D-B","70140","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 810 Litre","BKQ-810D-B","76970","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 999 Litre","BKQ-990D-B","76230","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 1203 Litre","BKQ-1200D-B","99800","",Biobase
"OTOKLAV - TEK & ÇİFT KAPILI PULSE VAKUMLU 1500 Litre","BKQ-1500D-B","109780","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 100 Litre","BKQ-B100H","17780","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 135 Litre","BKQ-B150H","19550","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 185 Litre","BKQ-B200H","20750","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 300 Litre","BKQ-B300H","25450","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 100 Litre + Ön Vakumlu","BKQ-Z100H","20050","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 135 Litre + Ön Vakumlu","BKQ-Z150H","22660","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 185 Litre + Ön Vakumlu","BKQ-Z200H","24400","",Biobase
"OTOKLAV - YATAY TİP & ÖN VAKUMLU 300 Litre + Ön Vakumlu","BKQ-Z300H","28250","",Biobase
"OTOKLAV - PORTATİF 18 Litre + Zaman Kontrollü","BKM-P18D","1200","",Biobase
"OTOKLAV - PORTATİF 24 Litre + Zaman Kontrollü","BKM-P24D","1950","",Biobase
"OTOKLAV - PORTATİF 18 Litre + Anti Dry","BKM-P18A","950","",Biobase
"OTOKLAV - PORTATİF 24 Litre + Anti Dry","BKM-P24A","1660","",Biobase
"BONCUK STERİLİZATÖR - 150g-4080 mm","GBS-5000A","880","",Biobase
"BONCUK STERİLİZATÖR - 300g-40140 mm","GBS-5000B","1150","",Biobase
"KASET STERİLİZATÖR - 1.8 Litre","BKS-2000","6620","",Biobase
"KASET STERİLİZATÖR - 5.2 Litre","BKS-5000","13900","",Biobase
"KASET STERİLİZATÖR - 6 Litre","BKS-6000","16180","",Biobase
"DEĞİRMEN - DİKEY TİP GEZEGENSEL 0.4 Litre","BKBM-V0.4","4550","",Biobase
"DEĞİRMEN - DİKEY TİP GEZEGENSEL 2 Litre","BKBM-V2","5400","",Biobase
"ISITICILI MANYETİK KARIŞTIRICI - Ø135 mm 20 Litre","MS-H-S","820","",Biobase
"DİJİTAL BALON ISITICI - 100 ml","HMD-1-100","210","",Biobase
"DİJİTAL BALON ISITICI - 250 ml","HMD-1-250","220","",Biobase
"DİJİTAL BALON ISITICI - 500 ml","HMD-1-500","230","",Biobase
"DİJİTAL BALON ISITICI - 1000 ml","HMD-1-1000","250","",Biobase
"DİJİTAL BALON ISITICI - 2000 ml","HMD-1-2000","280","",Biobase
"DİJİTAL BALON ISITICI - 3000 ml","HMD-1-3000","350","",Biobase
"DİJİTAL BALON ISITICI - 5000 ml","HMD-1-5000","450","",Biobase
"DİJİTAL BALON ISITICI - 10000 ml","HMD-I-10000","750","",Biobase
"DİJİTAL BALON ISITICI - 20000 ml","HMD-1-20000","1250","",Biobase
"DİJİTAL BALON ISITICILI KARIŞTIRICI - 100 ml","HMD-II-100","500","",Biobase
"DİJİTAL BALON ISITICILI KARIŞTIRICI - 250 ml","HMD-II-250","550","",Biobase
"DİJİTAL BALON ISITICILI KARIŞTIRICI - 500 ml","HMD-II-500","600","",Biobase
